e7d2bfa6ae926da88a57ca9d7a68c1971c91baae,ACCUMULO-4170,ACCUMULO-4170 Clarify ClientConfiguration javadocs
6ead4740dbc24485b51d73d0a006d44bb2f52833,ACCUMULO-4716,ACCUMULO-4716 Don't cache blks over max array size
0241958ec3cd5e764b94a1fbd485fc859fdc393f,ACCUMULO-4713,ACCUMULO-4713 Correct handling min and max timestamps (#303)
da9de8686b6f986534db50b84635449e841f642f,ACCUMULO-4702,ACCUMULO-4702 Fix missing Guava in assemble
d765a2df8250fa77a5bfa57a4fa97a6605f4ffaa,ACCUMULO-4702,ACCUMULO-4702 Removed unused guava deps from poms
6e2e2e7c609d6b55122bf6afdf5308de9526342d,ACCUMULO-4702,ACCUMULO-4702 Merged up Guava changes from #299
2962878f4297fd81d4790f0be2e92ecb3fd69e82,ACCUMULO-4702,ACCUMULO-4702 Removed Beta Guava dependencies (#299)
b95db79ec7ed0ab937fd186b650e67f52b0e7ce4,ACCUMULO-4702,ACCUMULO-4702 Removed Beta Guava code where possible
b25f679af1ac2546b9a2c5d35006954a026bc7a7,ACCUMULO-4702,ACCUMULO-4702 Removed Beta Guava dependencies
d472fd2a43c30d2920fc4bf347ade5194ec84b41,ACCUMULO-4702,ACCUMULO-4702 Checkstyle corrections
8a966a0b1daf831c44b23569829b952b300c37b0,ACCUMULO-4702,ACCUMULO-4702 Replaced uses of Guava HostAndPort
b0016c3ca36e15ee4bdde727ea5b6a18597de0ff,ACCUMULO-4702,ACCUMULO-4702 Code fixes to work with Guava 23 (#297)
953c559c72eb6ccf484171e08a677c6db45bc33b,ACCUMULO-4686,ACCUMULO-4686 Formatting update from verify
7b35311b8a27ce3bc3a2c12a8e348ddb7c7cfde6,ACCUMULO-4662,ACCUMULO-4662 Refactored TableID in replication
c7117b8e6bc893b237cc6dd674ac02ffb78e116c,ACCUMULO-4686,ACCUMULO-4686 Fix upgrade process to set version in all volumes.
2cc577805d1cd2f6d3f8fe4c9250da1c3862480c,ACCUMULO-4686,ACCUMULO-4686 Fix upgrade process to set version in all volumes.
bafeece4adfb6ea14587ed49d39f3be9777065bb,ACCUMULO-4686,ACCUMULO-4686 Fix upgrade process to set version in all volumes.
b7a2029f474cabf2e48fe1c99475066bada78371,ACCUMULO-4700,ACCUMULO-4700 Set log4j appender threshold to ALL (#296)
1bf6620e070146f37772651bf5ae21cf27e40718,ACCUMULO-4699,ACCUMULO-4699 Fixed queued work key in replication (#295)
82a15686893cc2f1b26777664093fa1ac312248a,ACCUMULO-4696,ACCUMULO-4696 Cleaned up Main
d63181a0695d604c78d6cf43ca23a3cf25a1d4f0,ACCUMULO-4662,ACCUMULO-4662 Replace string with Table.ID
7619532e0543a98293f21bfe31ec62a9a2afb8da,ACCUMULO-3827,ACCUMULO-3827 set default store types for monitor ssl to jks
a1b39552059f25cd41e26ae569e77252b72bb6a5,ACCUMULO-4685,ACCUMULO-4685 Remove more warnings
f88f5cf75bc7589a83c9d1ca100d2b5e92942194,ACCUMULO-4685,ACCUMULO-4685 Remove unneeded code
cbce8101b8f5331f4551f588652b6232017875c8,ACCUMULO-4685,ACCUMULO-4685 Fix minor warnings
0f061b99cfae4fa9676ee5989eaf23682d1e61d9,ACCUMULO-4685,ACCUMULO-4685 Fix minor type safety issues
f78a5d96b29b43d0d50e6ca1fef632a6ed43f4ae,ACCUMULO-4685,ACCUMULO-4685 Fix bug in FileRefTest
818e56bb54499079bf86ad80e5e619b248d6ff69,ACCUMULO-4602,ACCUMULO-4602 Deleted AssignmentThreadsIT
87e5780d7f6a8ed018c77efb8415f5834ff4763d,ACCUMULO-4602,ACCUMULO-4602 Improved RollWALPerformanceIT
520d23d85dfce9297bab887726322861163a1fb2,ACCUMULO-4602,ACCUMULO-4602 Fixed ChaoticLoadBalancer edge case
f81a4b12b022ef0f78f5ec06a18d7a97b992f676,ACCUMULO-4602,ACCUMULO-4602 Improved Test to stop quick fails
b7d9be0954accdf6ac91cd541f4ed9e60e49f04a,ACCUMULO-4602,ACCUMULO-4602 Improvements to AssignmentThreadsIT
41b792da3b5168e629af65b96c24da24e292f366,ACCUMULO-4674,ACCUMULO-4674 Enable Native map before configure
4cffe02905527954a031b0994f68bce6faf670f5,ACCUMULO-4674,ACCUMULO-4674 Fixed ExistingMacIT
5abce363a85524103bb51d56d4f036b8d1f06e3a,ACCUMULO-4675,ACCUMULO-4675 "accumulo-util gen-monitor-cert" doesn't work
efc5a98bb4f27503bf82328d2e68d29c04860d14,ACCUMULO-4665,ACCUMULO-4665 Use UGI with real Kerberos credentials
